S.N,BUSINESS_DATE,SECURITY_ID,SYMBOL,SECURITY_NAME,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE,PREVIOUS_DAY_CLOSE_PRICE,FIFTY_TWO_WEEKS_HIGH,FIFTY_TWO_WEEKS_LOW,LAST_UPDATED_TIME,LAST_UPDATED_PRICE,TOTAL_TRADES,AVERAGE_TRADED_PRICE,MARKET_CAPITALIZATION
124,2023-03-19,8045,GVL,Green Ventures Limited,430.0000,464.1000,426.2000,464.1000,22253,9764894.1000,433.0000,511.0000,255.1000,2023-03-19T14:59:53.775755,464.1000,292,438.81,14503.13
125,2023-03-19,147,SHL,Soaltee Hotel Limited,223.0000,225.0000,221.0000,221.6000,15447,3445601.6000,221.1000,252.6000,186.7000,2023-03-19T14:59:56.056254,221.6000,63,223.05,19605.29
126,2023-03-19,172,NABBC,Narayani Development Bank Limited,407.0000,415.0000,402.0000,413.1000,7667,3097216.0000,414.5000,555.0000,317.7000,2023-03-19T14:59:58.823892,413.1000,23,403.96,1084.25
127,2023-03-19,307,NTC,Nepal Doorsanchar Company Limited,816.0000,826.0000,814.0000,817.0000,8415,6891176.3000,815.8000,1575.0000,803.0000,2023-03-19T14:59:11.781181,817.0000,182,818.91,147060.00
128,2023-03-19,393,PLIC,Prime Life Insurance Company Limited,400.0000,406.9000,400.0000,401.0000,6760,2713615.9000,401.3000,801.0000,400.0000,2023-03-19T14:57:13.071972,401.0000,71,401.42,12595.27
129,2023-03-19,397,ADBL,Agricultural Development Bank Limited,264.5000,264.5000,258.0000,258.2000,21040,5460177.1000,261.5000,405.9000,258.0000,2023-03-19T14:59:50.954932,258.2000,238,259.51,34732.22
130,2023-03-19,417,GBBL,Garima Bikas Bank Limited,361.8000,361.8000,353.0000,355.0000,11901,4226692.9000,354.8000,490.0000,318.0000,2023-03-19T14:59:22.770531,355.0000,95,355.15,18372.24
131,2023-03-19,428,KRBL,Karnali Development Bank Limited,275.0000,275.0000,269.4000,269.4000,4126,1118411.6000,275.0000,435.0000,198.9000,2023-03-19T14:56:15.725952,269.4000,31,271.06,1427.85
132,2023-03-19,545,SLBBL,Swarojgar Laghu Bitta Bikas Bank Ltd.,614.0000,614.0000,602.1000,602.1000,586,356792.1000,605.0000,1115.0000,600.1000,2023-03-19T14:59:48.969084,602.1000,23,608.86,3776.38
133,2023-03-19,575,RMDC,RMDC Laghubitta Bittiya Sanstha Ltd.,713.0000,725.0000,690.0000,699.0000,3719,2589944.2000,713.0000,1182.0000,690.0000,2023-03-19T14:59:45.542326,699.0000,66,696.40,10930.57
134,2023-03-19,591,SHPC,Sanima Mai Hydropower Ltd.,324.0000,324.0000,318.5000,319.0000,31606,10122781.3000,319.0000,416.9000,250.0000,2023-03-19T14:59:56.544447,319.0000,148,320.28,9854.71
135,2023-03-19,2748,RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,500.0000,500.0000,492.0000,492.0000,2825,1396023.0000,497.0000,728.2000,450.0000,2023-03-19T14:59:25.376823,492.0000,41,494.16,4278.28
136,2023-03-19,2766,CHL,Chhyangdi Hydropower Ltd.,321.0000,330.0000,315.1000,319.1000,23210,7486848.8000,320.7000,475.0000,193.1000,2023-03-19T14:59:57.228458,319.1000,95,322.56,1234.85
137,2023-03-19,2767,HPPL,Himalayan Power Partner Ltd.,292.0000,304.0000,292.0000,300.5000,7584,2281670.5000,297.4000,476.0000,217.6000,2023-03-19T14:57:51.596441,300.5000,57,300.85,3201.58
138,2023-03-19,2769,NHDL,Nepal Hydro Developers Ltd.,406.0000,408.0000,398.0000,408.0000,13005,5258152.6000,398.1000,533.0000,294.0000,2023-03-19T14:58:52.870158,408.0000,84,404.31,1370.58
139,2023-03-19,2770,SEF,Siddhartha Equity Fund,7.8200,7.9000,7.8200,7.9000,3650,28620.5000,7.9500,11.2500,7.6900,2023-03-19T14:51:59.308013,7.9000,6,7.84,
140,2023-03-19,2774,USLB,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,730.0000,738.0000,715.0000,723.3000,239,174184.8000,739.0000,1490.0000,715.0000,2023-03-19T14:42:36.533125,723.3000,10,728.80,1656.51
141,2023-03-19,2788,AKJCL,Ankhu Khola Jalvidhyut Company Ltd,228.0000,229.3000,225.4000,227.0000,17674,4018999.5000,225.0000,310.0000,159.8000,2023-03-19T14:59:44.913459,227.0000,112,227.39,1816.00
142,2023-03-19,2829,SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Limited,1035.0000,1050.0000,1014.3000,1018.0000,350,359727.2000,1050.0000,1890.0000,1014.3000,2023-03-19T14:49:58.509947,1018.0000,14,1027.79,1487.69
143,2023-03-19,2841,RHPL,RASUWAGADHI HYDROPOWER COMPANY LIMITED,300.0000,310.0000,300.0000,306.0000,20144,6197583.4000,302.0000,391.6000,210.0000,2023-03-19T14:59:35.855806,306.0000,143,307.66,18843.14
